pathway_id,pathway_mode,is_bidirectional,from_stop_id,to_stop_id,traversal_time
L056213-056229-WC,5,1,L056213,056229,90
LM2KP1-LMXKPJ,2,1,LM2KP1,LMXKPJ,60
LM2KP1-LMXKPI,2,1,LM2KP1,LMXKPI,60
LM2KP1-LMXKPH,2,1,LM2KP1,LMXKPH,60
LM2KP1-LMXKPG,2,1,LM2KP1,LMXKPG,60
LM2KP1-LMXKPF,2,1,LM2KP1,LMXKPF,30
LM2KP1-LMXKPE,2,1,LM2KP1,LMXKPE,60
LM2KP1-LMXKPD,2,1,LM2KP1,LMXKPD,30
LM2KP1-LMXKPC,2,1,LM2KP1,LMXKPC,90
LM2KP1-LMXKPB,2,1,LM2KP1,LMXKPB,90
LM2KP1-LMXKPA,2,1,LM2KP1,LMXKPA,90
LM3GU2-F02685,5,1,LM3GU2,F02685,90
LM4KP3-F01335,2,1,LM4KP3,F01335,90
LM3KKB1-LM3KK1,2,1,LM3KKB1,LM3KK1,30
LM2KP1-LMXKPN,2,1,LM2KP1,LMXKPN,180
LM2KP1-LMXKPM,2,1,LM2KP1,LMXKPM,180
LM2KP1-LMXKPL,2,1,LM2KP1,LMXKPL,180
LM2KP1-LMXKPK,2,1,LM2KP1,LMXKPK,120
LM3KKG-LM3KK1,2,1,LM3KKG,LM3KK1,45
LM3NTD-LM3NT1,2,1,LM3NTD,LM3NT1,30
L008084-F01233-WC,5,1,L008084,F01233,60
LM3UV1-F00898,5,1,LM3UV1,F00898,60
LM1KKM-F01096,2,1,LM1KKM,F01096,30
LM3AH3-F02638,5,1,LM3AH3,F02638,60
LM4KF3-056216,1,1,LM4KF3,056216,120
LM4KF3-056215,1,1,LM4KF3,056215,120
056234-F01336-WC,5,1,056234,F01336,105
L008082-F01283,2,1,L008082,F01283,15
L008082-F01282,2,1,L008082,F01282,15
LM2PU1-F01743,2,1,LM2PU1,F01743,30
LM4UK1-056220,2,1,LM4UK1,056220,60
L056213-056230-WC,5,1,L056213,056230,90
LM4KP3-LMXKPK-WC,5,1,LM4KP3,LMXKPK,120
F00962-F00960,2,1,F00962,F00960,270
F00962-F00961,2,1,F00962,F00961,270
LM3KKV3-LM3KK1,2,1,LM3KKV3,LM3KK1,60
LM3NLB-L008082,2,1,LM3NLB,L008082,45
LM3CNC-LM3CN1,2,1,LM3CNC,LM3CN1,60
LM3CNG-LM3CN1,2,1,LM3CNG,LM3CN1,60
LM4KP3-056234,2,1,LM4KP3,056234,90
LM4KP3-056233,2,1,LM4KP3,056233,90
LM3KKC3-LM3KK1,2,1,LM3KKC3,LM3KK1,45
LM1MUV-F02887,2,1,LM1MUV,F02887,30
LM3KKC2-LM3KK1,2,1,LM3KKC2,LM3KK1,45
056234-F01335-WC,5,1,056234,F01335,105
LM3EUC-F01493,2,1,LM3EUC,F01493,45
LM2PU2-F01742,2,1,LM2PU2,F01742,30
LM3NYI-LM3NY1,2,1,LM3NYI,LM3NY1,30
LM2PU2-F01743,2,1,LM2PU2,F01743,30
LM3NYI-LM3NY2,2,1,LM3NYI,LM3NY2,120
LM3LE2-F02614,2,1,LM3LE2,F02614,30
LM3DG2-LM3DG1,5,1,LM3DG2,LM3DG1,60
LM3LE2-F02613,2,1,LM3LE2,F02613,30
LM1OKV-F01085,2,1,LM1OKV,F01085,30
LM3NYF-LM3NY1,2,1,LM3NYF,LM3NY1,30
LM3NYF-LM3NY2,2,1,LM3NYF,LM3NY2,90
F00963-F00955,2,1,F00963,F00955,270
F00963-F00954,2,1,F00963,F00954,270
LM3AHE-LM3AH2,1,1,LM3AHE,LM3AH2,60
LM3AHE-LM3AH1,1,1,LM3AHE,LM3AH1,120
LM3FTA-LM3FT1,2,1,LM3FTA,LM3FT1,30
LM4KF2-056215-WC,5,1,LM4KF2,056215,120
LM4KP3-F01336,2,1,LM4KP3,F01336,90
LM2DF1-LMXDFB,2,1,LM2DF1,LMXDFB,60
LM2DF1-LMXDFA,2,1,LM2DF1,LMXDFA,60
F00963-F00960,2,1,F00963,F00960,270
LM2DF1-LMXDFD,2,1,LM2DF1,LMXDFD,30
LM2DF1-LMXDFC,2,1,LM2DF1,LMXDFC,30
F00963-F00961,2,1,F00963,F00961,270
LM2DF1-LMXDFE,2,1,LM2DF1,LMXDFE,30
LM3CND-LM3CN1,2,1,LM3CND,LM3CN1,60
LM3KKV2-LM3KK1,2,1,LM3KKV2,LM3KK1,120
LM2PF2-F01324,2,1,LM2PF2,F01324,30
LM3LED-LM3LE2,1,1,LM3LED,LM3LE2,30
L008159-F02683,2,1,L008159,F02683,30
L008159-F02682,2,1,L008159,F02682,30
LM3DGB-LM3DG1,1,1,LM3DGB,LM3DG1,30
LM2PF2-F01325,2,1,LM2PF2,F01325,30
LM3FTD-LM3FT1,2,1,LM3FTD,LM3FT1,60
LM3NYA-LM3NY1,2,1,LM3NYA,LM3NY1,120
LM3NYA-LM3NY2,2,1,LM3NYA,LM3NY2,30
LM1DF3-LMXDFE,2,1,LM1DF3,LMXDFE,30
LM3AHB-LM3AH2,2,1,LM3AHB,LM3AH2,180
LM1DF3-LMXDFD,2,1,LM1DF3,LMXDFD,30
LM3HUB1-LM3HU1-WC,5,1,LM3HUB1,LM3HU1,30
LM1DF3-LMXDFC,2,1,LM1DF3,LMXDFC,30
LM1BZV-F00996,2,1,LM1BZV,F00996,30
LM1DF3-LMXDFB,2,1,LM1DF3,LMXDFB,60
LM1DF3-LMXDFA,2,1,LM1DF3,LMXDFA,60
LM3AHB-LM3AH1,2,1,LM3AHB,LM3AH1,30
LM4KF3-LM4KFA-WC,5,1,LM4KF3,LM4KFA,120
LM3UK1-F00912,5,1,LM3UK1,F00912,90
LM3GU3-F02685,5,1,LM3GU3,F02685,90
LM4KV1-LMXKVD,2,1,LM4KV1,LMXKVD,30
LM1DF2-F00963,2,1,LM1DF2,F00963,30
LM4KV1-LMXKVC,2,1,LM4KV1,LMXKVC,90
LM4KV1-LMXKVB,2,1,LM4KV1,LMXKVB,90
LM4KV1-LMXKVA,2,1,LM4KV1,LMXKVA,60
LM3NT1-F01253-WC,5,1,LM3NT1,F01253,60
LM3KV1-F01289-WC,5,1,LM3KV1,F01289,150
LM4KV1-LMXKVG,2,1,LM4KV1,LMXKVG,90
L008136-F00956-WC,5,1,L008136,F00956,60
LM4KV1-LMXKVF,2,1,LM4KV1,LMXKVF,90
LM4KV1-LMXKVE,2,1,LM4KV1,LMXKVE,90
LM3KV1-F01290-WC,5,1,LM3KV1,F01290,150
LM2BL1-F01291,2,1,LM2BL1,F01291,60
LM2AS1-F01018,2,1,LM2AS1,F01018,60
LM2AS1-F01019,2,1,LM2AS1,F01019,60
